source,target,anchor,reason
/guides/download-kaise-kare-android/,/download-kaise-kare/,"Download Kaise Kare","route article to closest hub"
/download-kaise-kare/,/guides/download-kaise-kare-android/,"K1 Game Download Kaise Kare Android Par","supporting long-tail guide"
/guides/login-kaise-kare/,/login-kaise-kare/,"Login Kaise Kare","route article to closest hub"
/login-kaise-kare/,/guides/login-kaise-kare/,"K1 Game Login Kaise Kare","supporting long-tail guide"
/guides/paisa-kaise-nikale/,/paisa-guide/,"Paisa Guide","route article to closest hub"
/paisa-guide/,/guides/paisa-kaise-nikale/,"K1 Game Se Paisa Kaise Nikale","supporting long-tail guide"
/guides/otp-masla/,/masail-faq/,"Masail FAQ","route article to closest hub"
/masail-faq/,/guides/otp-masla/,"K1 Game OTP Masla: Roman Urdu Guide","supporting long-tail guide"
/guides/real-hai-ya-nahi/,/download-kaise-kare/,"Download Kaise Kare","route article to closest hub"
/download-kaise-kare/,/guides/real-hai-ya-nahi/,"K1 Game Real Hai Ya Nahi?","supporting long-tail guide"
/guides/jazzcash-guide-urdu/,/login-kaise-kare/,"Login Kaise Kare","route article to closest hub"
/login-kaise-kare/,/guides/jazzcash-guide-urdu/,"K1 Game JazzCash Guide Roman Urdu","supporting long-tail guide"
/guides/easypaisa-guide-urdu/,/paisa-guide/,"Paisa Guide","route article to closest hub"
/paisa-guide/,/guides/easypaisa-guide-urdu/,"K1 Game Easypaisa Guide Roman Urdu","supporting long-tail guide"
/guides/app-open-nahi-ho-rahi/,/masail-faq/,"Masail FAQ","route article to closest hub"
/masail-faq/,/guides/app-open-nahi-ho-rahi/,"K1 Game App Open Nahi Ho Rahi","supporting long-tail guide"
/guides/account-banana/,/download-kaise-kare/,"Download Kaise Kare","route article to closest hub"
/download-kaise-kare/,/guides/account-banana/,"K1 Game Account Banana: Simple Guide","supporting long-tail guide"
/guides/download-safe-hai/,/login-kaise-kare/,"Login Kaise Kare","route article to closest hub"
/login-kaise-kare/,/guides/download-safe-hai/,"K1 Game Download Safe Hai?","supporting long-tail guide"
/guides/masail-faq-roman-urdu/,/paisa-guide/,"Paisa Guide","route article to closest hub"
/paisa-guide/,/guides/masail-faq-roman-urdu/,"K1 Game Masail FAQ Roman Urdu","supporting long-tail guide"
/guides/weekly-urdu-notes/,/masail-faq/,"Masail FAQ","route article to closest hub"
/masail-faq/,/guides/weekly-urdu-notes/,"Weekly K1 Game Urdu Help Notes","supporting long-tail guide"
